Iteration,MMAS
0,189584.06
1,187014.58
2,11725.862
3,11725.862
4,11725.862
5,11725.862
6,11725.862
7,11725.862
8,11725.862
9,11725.862
10,11725.862
11,11725.862
12,11725.862
13,11725.862
14,11725.862
15,11725.862
16,11725.862
17,11725.862
18,11725.862
19,11725.862
20,11725.862
21,11725.862
22,11725.862
23,11725.862
24,11725.862
25,11725.862
26,11725.862
27,11725.862
28,11725.862
29,11725.862
30,11725.862
31,11725.862
32,11725.862
33,11725.862
34,11725.862
35,11717.278
36,11717.278
37,11717.278
38,11717.278
39,11717.278
40,11717.278
41,11717.278
42,11717.278
43,11717.278
44,11717.278
45,11717.278
46,11717.278
47,11717.278
48,11717.278
49,11717.278
50,11570.434
51,11570.434
52,11570.434
53,11570.434
54,11570.434
55,11570.434
56,11570.434
57,11570.434
58,11570.434
59,11524.882
60,11524.882
61,11524.882
62,11524.882
63,11524.882
64,11524.882
65,11524.882
66,11524.882
67,11524.882
68,11524.882
69,11524.882
70,11427.765
71,11427.765
72,11427.765
73,11427.765
74,11427.765
75,11427.765
76,11427.765
77,11427.765
78,11427.765
79,11427.765
80,11427.765
81,11427.765
82,11427.765
83,11427.765
84,11427.765
85,11427.765
86,11427.765
87,11427.765
88,11427.765
89,11427.765
90,11427.765
91,11427.765
92,11427.765
93,11427.765
94,11427.765
95,11427.765
96,11427.765
97,11427.765
98,11427.765
99,11427.765
100,11427.765
101,11427.765
102,11427.765
103,11427.765
104,11323.226
105,11323.226
106,11323.226
107,11323.226
108,11323.226
109,11323.226
110,11323.226
111,11323.226
112,11323.226
113,11323.226
114,11323.226
115,11323.226
116,11323.226
117,11323.226
118,11323.226
119,11323.226
120,11323.226
121,11323.226
122,11323.226
123,11323.226
124,11323.226
125,11323.226
126,11323.226
127,11323.226
128,11323.226
129,11323.226
130,11323.226
131,11323.226
132,11323.226
133,11323.226
134,11323.226
135,11323.226
136,11323.226
137,11323.226
138,11323.226
139,11323.226
140,11323.226
141,11323.226
142,11323.226
143,11323.226
144,11323.226
145,11323.226
146,11323.226
147,11323.226
148,11323.226
149,11323.226
150,11323.226
151,11323.226
152,11323.226
153,11323.226
154,11323.226
155,11323.226
156,11323.226
157,11323.226
158,11323.226
159,11323.226
160,11323.226
161,11323.226
162,11323.226
163,11323.226
164,11323.226
165,11323.226
166,11323.226
167,11323.226
168,11323.226
169,11323.226
170,11323.226
171,11323.226
172,11323.226
173,11323.226
174,11323.226
175,11323.226
176,11323.226
177,11323.226
178,11323.226
179,11323.226
180,11323.226
181,11323.226
182,11323.226
183,11323.226
184,11323.226
185,11323.226
186,11323.226
187,11323.226
188,11323.226
189,11323.226
190,11323.226
191,11323.226
192,11323.226
193,11323.226
194,11323.226
195,11323.226
196,11323.226
197,11323.226
198,11323.226
199,11323.226
200,11323.226
201,11323.226
202,11323.226
203,11323.226
204,11323.226
205,11323.226
206,11323.226
207,11323.226
208,11323.226
209,11323.226
210,11323.226
211,11323.226
212,11323.226
213,11323.226
214,11323.226
215,11323.226
216,11323.226
217,11323.226
218,11323.226
219,11323.226
220,11323.226
221,11323.226
222,11323.226
223,11323.226
224,11323.226
225,11323.226
226,11323.226
227,11323.226
228,11323.226
229,11323.226
230,11323.226
231,11323.226
232,11323.226
233,11323.226
234,11323.226
235,11323.226
236,11323.226
237,11323.226
238,11323.226
239,11323.226
240,11323.226
241,11323.226
242,11323.226
243,11323.226
244,11323.226
245,11323.226
246,11323.226
247,11323.226
248,11323.226
249,11323.226
250,11323.226
